дхритараштрах увача  Z царь Дхритараштра сказал
 ча  Z также
 маха-бахух  Z могучерукий
 шанкхан  Z в раковины
 дадхмух  Z затрубили
 притхак притхак  Z  каждый в отдельности
сах  Z тот
 гхошах  Z звук
 дхартараштранам  Z сыновей Дхритараштры
 хридайани  Z сердца
 вйадарайат  Z заставил содрогнуться
 набхах  Z небо
 ча  Z также
 притхивим  Z поверхность земли
 ча  Z  также
 эва  Z безусловно
 тумулах  Z громоподобный
 абхйанунадайан  Z оглашающий
атха  Z тогда
 вйавастхитан  Z выстроенных
 дриштва  Z оглядев
 дхартараштран  Z сыновей Дхритараштры
 капи-дхваджах  Z  тот, чей флаг был украшен изображением Ханумана
 правритте  Z  когда был готов
 шастра-сампате  Z пускать стрелы
 дханух  Z лук
 удйамйа  Z вскинув
 пандавах  Z сын Панду (Aрджуна)
 хришикешам  Z Господу Кришне
 тада  Z тогда
 вакйам  Z речь
 идам  Z эту
 аха  Z произнес
 махи-пате  Z о царь
арджунах увача  Z Aрджуна сказал
 сенайох  Z армий
 убхайох  Z  двух
 мадхйе  Z между
 ратхам  Z колесницу
 стхапайа  Z останови
 ме  Z мою
 ачйута  Z о непогрешимый
 йават  Z пока
 этан  Z на этих
 нирикше  Z гляжу
 ахам  Z я
 йоддху-каман  Z желающих сражаться
 авастхитан  Z выстроившихся на поле боя
 каих  Z с которыми
 майа  Z мной
 саха  Z вместе
 йоддхавйам  Z необходимость сражаться
 асмин  Z в этой
 рана  Z битвы
 самудйаме  Z в попытке
йотсйаманан  Z на тех, кто будет сражаться
 авекше  Z смотрю
 ахам  Z я
 йе  Z которые
 эте  Z эти
 атра  Z здесь
 самагатах  Z собравшиеся
 дхартараштрасйа  Z сына царя Дхритараштры
 дурбуддхех  Z злонравного
 йуддхе  Z в битве
 прийа  Z успеха
 чикиршавах  Z желающие
санджайах увача  Z Санджая сказал
 эвам  Z таким образом
 уктах  Z тот, к которому была обращена просьба
 хришикешах  Z Господь Кришна
 гудакешена  Z Aрджуны
 бхарата  Z о потомок Бхараты
 сенайох  Z армий
 убхайох  Z двух
 мадхйе  Z между
 стхапайитва  Z поставив
 ратха-уттамам  Z чудесную колесницу
бхишма  Z деда Бхишмы
 дрона  Z учителя Дроны
 прамукхатах  Z перед лицом
 сарвешам  Z всех
 ча  Z также
 махи-кшитам  Z  повелителей мира
 увача  Z сказал
 партха  Z о сын Притхи
 пашйа  Z взгляни же
 этан  Z на этих
 самаветан  Z собравшихся
 курун  Z членов рода Куру
 ити  Z так
татра  Z там
 апашйат  Z увидел
 стхитан  Z стоящих
 партхах  Z Aрджуна
 питЌн  Z отцов
 атха  Z также
 питамахан  Z дедов
 ачарйан  Z учителей
 матулан  Z дядьев по матери
 бхратЌн  Z  братьев
 путран  Z сыновей
 паутран  Z внуков
 сакхин  Z друзей
 татха  Z также
 швашуран  Z тестей
 сухридах  Z доброжелателей
 ча  Z также
 эва  Z безусловно
 сенайох  Z армий
 убхайох  Z обеих (враждующих сторон)
 апи  Z также
тан  Z их
 самикшйа  Z увидев
 сах  Z он
 каунтейах  Z сын Кунти
 сарван  Z всех
 бандхун  Z родственников
 авастхитан  Z находящихся
 крипайа  Z состраданием
 парайа  Z огромным
 авиштах  Z  преисполненный
 вишидан  Z сокрушающийся
 идам  Z это
 абравит  Z сказал
арджунах увача  Z Aрджуна сказал
 дриштва  Z увидев
 имам  Z  эту
 сва-джанам  Z родню
 кришна  Z о Кришна
 йуйутсум  Z воинственно настроенную
 самупастхитам  Z расположенную
 сиданти  Z дрожат
 мама  Z мои
 гатрани  Z члены тела
 мукхам  Z рот
 ча  Z и
 паришушйати  Z пересыхает
вепатхух  Z дрожь
 ча  Z также
 шарире  Z по телу
 ме  Z моему
 рома-харшах  Z поднятие волос дыбом
 ча  Z также
 джайате  Z происходит
 гандивам  Z знаменитый лук Aрджуны
 срамсате  Z выпадает
 хастат  Z из руки
 твак  Z кожа
 ча  Z также
 эва  Z конечно
 паридахйате  Z горит
на  Z не
 ча  Z также
 шакноми  Z могу
 авастхатум  Z оставаться
 бхрамати  Z забывает
 ива  Z как будто
 ча  Z и
 ме  Z мой
 манах  Z ум
 нимиттани  Z причины
 ча  Z также
 пашйами  Z вижу
 випаритани  Z противоположные
 кешава  Z о Кришна, убивший демона Кеши
на  Z не
 ча  Z также
 шрейах  Z хорошее
 анупашйами  Z предвижу
 хатва  Z убив
 сва-джанам  Z свою родню
 ахаве  Z в битве
 на  Z не
 канкше  Z желаю
 виджайам  Z победу
 кришна  Z о Кришна
 на  Z не
 ча  Z также
 раджйам  Z царство
 сукхани  Z радости (завоеванные такой ценой)
 ча  Z также
ким  Z что
 нах  Z нам
 раджйена  Z царством
 говинда  Z о Кришна
 ким  Z что
 бхогаих  Z наслаждениями
 дживитена  Z жизнью
 ва  Z или
 йешам  Z которых
 артхе  Z с целью
 канкшитам  Z желаемое
 нах  Z наше
 раджйам  Z царство
 бхогах  Z материальные наслаждения
 сукхани  Z радости
 ча  Z также
 те  Z они
 име  Z эти
 авастхитах  Z находящиеся
 йуддхе  Z на поле боя
 пранан  Z жизни
 тйактва  Z отдав
 дханани  Z богатства
 ча  Z также
 ачарйах  Z  учителя
 питарах  Z отцы
 путрах  Z сыновья
 татха  Z также
 эва  Z безусловно
 ча  Z и
 питамахах  Z деды
 матулах  Z дядья по матери
 швашурах  Z тести
 паутрах  Z внуки
 шйалах  Z зятья, шурины
 самбандхинах  Z родственники
 татха  Z затем
 этан  Z эти
 на  Z не
 хантум  Z убивать
 иччхами  Z желаю
 гхнатах  Z убитый
 апи  Z даже
 мадхусудана  Z о Кришна, сразивший демона Мадху
 апи  Z даже
 траи-локйа  Z охватывающего три мира
 раджйасйа  Z  царства
 хетох  Z с целью
 ким ну  Z что же
 махи-крите  Z для земли
 нихатйа  Z убив
 дхартараштран  Z сыновей Дхритараштры
 нах  Z нам
 ка  Z какая
 притих  Z радость
 сйат  Z будет
 джанардана  Z о хранитель всех живых существ
папам  Z грех
 эва  Z безусловно
 ашрайет  Z ляжет
 асман  Z на нас
 хатва  Z убив
 этан  Z этих
 ататайинах  Z напавших на нас
 тасмат  Z поэтому
 на  Z не
 архах  Z должны
 вайам  Z мы
 хантум  Z убивать
 дхартараштран  Z сыновей Дхритараштры
 са-бандхаван  Z и наших друзей
 сва-джанам  Z родню
 хи  Z конечно
 катхам  Z как
 хатва  Z убив
 сукхинах  Z счастливые
 сйама  Z станем
 мадхава  Z о Кришна, супруг богини удачи
йади  Z если
 апи  Z даже
 эте  Z эти
 на  Z не
 пашйанти  Z видят
 Лобха  Z алчностью
 упахата  Z охвачены
 четасах  Z те, чьи сердца
 кула-кшайа  Z уничтожением семьи
 критам  Z совершенный
 дошам  Z грех
 митра-дрохе  Z в распре с друзьями
 ча  Z также
 патакам  Z результат греха
 катхам  Z как
 на  Z не
 джнейам  Z  то, что должно быть известно
 асмабхих  Z нами
 папат  Z от греха
 асмат  Z нас
 нивартитум  Z остановить
 кула-кшайа  Z истреблением рода
 критам  Z совершенное
 дошам  Z преступление
 прапашйадбхих  Z теми, кто видит
 джанардана  Z о Кришна
кула-кшайе  Z при уничтожении рода
 пранашйанти  Z исчезают
 кула-дхармах  Z семейные традиции
 санатанах  Z вечные
 дхарме  Z когда религия
 наште  Z разрушена
 кулам  Z семья
 критснам  Z вся
 адхармах  Z безбожие
 абхибхавати  Z становится
 ута  Z  ведь (сказано)
Адхарма  Z безбожия
 абхибхават  Z от воцарившегося
 кришна  Z  о Кришна
 прадушйанти  Z оскверняются
 кула-стрийах  Z женщины рода
 стришу  Z у женщин
 душтасу  Z развращенных
 варшнейа  Z о потомок Вришни
 джайате  Z рождается
 варна-санкарах  Z нежеланное потомство
санкарах  Z нежеланное потомство
 наракайа  Z в ад
 эва  Z безусловно
 кула-гхнанам  Z тех, кто уничтожает семью
 куласйа  Z  семь
 ча  Z также
 патанти  Z падают
 питарах  Z предки
 хи  Z  конечно
 эшам  Z этих
 лупта  Z прекращены
 пинда  Z подношения пищи
 удака  Z и воды
 крийах  Z обряды
дошаих  Z грехами
 этаих  Z этими
 кула-гхнанам  Z разрушающих семью
 варна-санкара  Z нежеланного потомства
 каракаих  Z  причинами появления
 утсадйанте  Z прекращаются
 джати-дхармах  Z деяния на благо общества
 кула-дхармах  Z семейные традиции
 ча  Z также
 шашватах  Z незыблемые
утсанна  Z разрушены
 кула-дхарманам  Z тех, чьи семейные традиции
 манушйанам  Z людей
 джанардана  Z о Кришна
 нараке  Z  в аду
 нийатам  Z вечно
 васах  Z пребывание
 бхавати  Z происходит
 ити  Z так
 анушушрума  Z слышал (от наставников, принадлежащих к цепи духовных учителей)
ахо  Z увы
 бата  Z как странно
 махат  Z величайший
 папам  Z  грех
 картум  Z совершить
 вйаваситах  Z решившие
 вайам  Z мы
 йат  Z поскольку
 раджйа-сукха-лобхена  Z из-за желания наслаждаться царством
 хантум  Z убить
 сва-джанам  Z родню
 удйатах  Z  пытающиеся
йади  Z если
 мам  Z меня
 апратикарам  Z не оказывающего сопротивления
 ашастрам  Z безоружного
 шастра-панайах  Z те, кто с оружием в руках
 дхартараштрах  Z сыновья Дхритараштры
 ране  Z на поле боя
 ханйух  Z пусть убьют
 тат  Z то
 ме  Z для меня
 кшема-тарам  Z лучше
 бхавет  Z будет
санджайах увача  Z Санджая сказал
 эвам  Z так
 уктва  Z промолвив
 арджунах  Z Aрджуна
 санкхйе  Z на поле боя
 ратха  Z  колесницы
 упастхе  Z на сиденье
 упавишат  Z опустился
 висриджйа  Z отбросив
 са-шарам  Z со стрелами
 чапам  Z лук
 шока  Z  горем
 самвигна  Z пораженный
 манасах  Z тот, чей ум
санджайах увача  Z Санджая сказал
 там  Z на Aрджуну
 татха  Z так
 крипайа  Z состраданием
 авиштам  Z охваченного
 ашру-Пурна-акула  Z полные слез
 икшанам  Z глаза
 вишидантам  Z сокрушающегося
 идам  Z эти
 вакйам  Z слова
 увача  Z произнес
 мадху-суданах  Z убивший демона Мадху
шри-бхагаван увача  Z Верховный Господь сказал
 кутах  Z откуда
 тва  Z тебя
 кашмалам  Z скверна
 идам  Z эта (скорбь)
 вишаме  Z в трудный час
 самупастхитам  Z пришедшая
 анарйа  Z  людям, не знающим истинной цели жизни
 джуштам  Z присущая
 асваргйам  Z которая не ведет на высшие планеты
 акирти  Z бесславия
 карам  Z причина
 арджуна  Z о Aрджуна
клаибйам  Z бессилию
 ма сма  Z не
 гамах  Z поддавайся
 партха  Z о сын Притхи
 на  Z никогда не
 этат  Z это
 твайи  Z тебе
 упападйате  Z подобает
 кшудрам  Z жалкая
 хридайа  Z сердца
 даурбалйам  Z слабость
 тйактва  Z отринув
 уттиштха  Z встань
 парам-тапа  Z о покоритель врагов
арджунах увача  Z Aрджуна сказал
 катхам  Z как
 бхишмам  Z  Бхишму
 ахам  Z я
 санкхйе  Z в бою
 дронам  Z Дрону
 ча  Z также
 мадху-судана  Z убивший демона Мадху
 ишубхих  Z стрелами
 пратийотсйами  Z поражу ответным ударом
 Пуджа-архау  Z достойных поклонения
 ари-судана  Z о победитель врагов
гурун  Z старших
 ахатва  Z не убив
 хи  Z безусловно
 Маха-анубхаван  Z великих душ
 шрейах  Z лучше
 бхоктум  Z наслаждаться (жизнью)
 бхаикшйам  Z прошением милостыни
 апи  Z даже
 иха  Z  здесь (в этой жизни)
 локе  Z в этом мире
 хатва  Z убив
 Артха  Z  корыстное
 каман  Z тех, чье желание
 ту  Z но
 гурун  Z старших
 иха  Z здесь (в этом мире)
 эва  Z безусловно
 бхунджийа  Z буду вкушать
 бхоган  Z предметы наслаждения
 рудхира  Z кровью
 прадигдхан  Z запачканные
на  Z не
 ча  Z также
 этат  Z это
 видмах  Z знаем
 катарат  Z  которое (из двух)
 нах  Z для нас
 гарийах  Z лучше
 йат ва  Z либо
 джайема  Z победим
 йади  Z если
 ва  Z или
 нах  Z нас
 джайейух  Z  победят
 йан  Z которых
 эва  Z безусловно
 хатва  Z убив
 на  Z не
 джидживишамах  Z хотим жить
 те  Z они
 авастхитах  Z стоящие
 прамукхе  Z перед нами
 дхартараштрах  Z сыны Дхритараштры
карпанйа  Z из-за скупости
 доша  Z слабостью
 упахата  Z охваченный
 сва-бхавах  Z признаки
 приччхами  Z прошу
 твам  Z Тебя
 дхарма  Z религии
 саммудха  Z заблуждения
 четах  Z тот, в чьем сердце
 йат  Z что
 шрейах  Z всеблагое
 сйат  Z может быть
 нишчитам  Z определенно
 брухи  Z скажи
 тат  Z то
 ме  Z мне
 шишйах  Z ученик
 те  Z твой
 ахам  Z я
 шадхи  Z научи
 мам  Z меня
 твам  Z тебе
 прапаннам  Z предавшегося
на  Z не
 хи  Z безусловно
 прапашйами  Z вижу
 мама  Z мою
 апанудйат  Z устранит
 йат  Z которую
 шокам  Z скорбь
 уччхошанам  Z иссушающую
 индрийанам  Z чувства
 авапйа  Z получив
 бхумау  Z на земле
 асапатнам  Z без соперников
 риддхам  Z цветущее
 раджйам  Z царство
 суранам  Z полубогов
 апи  Z даже
 ча  Z также
 адхипатйам  Z власть
санджайах увача  Z Санджая сказал
 эвам  Z это
 уктва  Z произнеся
 хришикешам  Z Кришне, повелителю чувств
 гудакешах  Z Aрджуна, победитель невежества
 парантапах  Z покоритель врагов
 на йотсйе  Z не буду сражаться
 ити  Z это
 говиндам  Z Кришне, который дарует наслаждение чувствам
 уктва  Z сказав
 тушним  Z  в молчание
 бабхува  Z погрузился
 ха  Z безусловно
там  Z ему
 увача  Z сказал
 хришикешах  Z владыка чувств, Кришна
 прахасан  Z улыбающийся
 ива  Z как бы
 бхарата  Z о Дхритараштра, потомок Бхараты
 сенайох  Z армий
 убхайох  Z двух
 мадхйе  Z между
 вишидантам  Z сокрушающемуся
 идам  Z эти
 вачах  Z слова
шри-бхагаван увача  Z Верховный Господь сказал
 ашочйан  Z недостойных скорби
 анвашочах  Z оплакивающий
 твам  Z ты
 праджна-вадан  Z ученые речи
 ча  Z также
 бхашасе  Z произносишь
 гата  Z о минувших
 асун  Z жизнях
 агата  Z о тех, что еще не прошли
 асун  Z жизнях
 ча  Z также
 на  Z не
 анушочанти  Z сокрушаются
 пандитах  Z мудрецы
на  Z никогда
 ту  Z но
 эва  Z безусловно
 ахам  Z я
 джату  Z когда-либо
 на  Z не
 асам  Z был
 на  Z нет
 твам  Z ты
 на  Z не
 име  Z  эти
 джана-адхипах  Z цари
 на  Z не
 ча  Z также
 эва  Z конечно
 на  Z не
 бхавишйамах  Z будем существовать
 сарве вайам  Z все мы
 атах парам  Z после
дехинах  Z воплощенного
 асмин  Z в этом
 йатха  Z как
 дехе  Z  в теле
 каумарам  Z детство
 йауванам  Z молодость
 джара  Z старость
 татха  Z так же
 деха-антара  Z другого тела
 праптих  Z  обретение
 дхирах  Z трезвомыслящий человек
 татра  Z при этом
 на  Z не
 мухйати  Z обманывается
матра-спаршах  Z ощущения
 ту  Z же
 каунтейа  Z о сын Кунти
 шита  Z зима
 ушна  Z лето
 сукха  Z счастье
 духкха  Z и страдание
 дах  Z дающие
 агама  Z появляющиеся
 апайинах  Z исчезающие
 анитйах  Z преходящие
 тан  Z их
 титикшасва  Z терпеливо переноси
 бхарата  Z о потомок Бхараты
йам  Z которого
 хи  Z безусловно
 на  Z не
 вйатхайанти  Z беспокоят
 эте  Z эти
 пурушам  Z человека
 Пуруша-ришабха  Z о лучший из людей
 сама  Z одинакового
 духкха  Z в горе
 сукхам  Z и радости
 дхирам  Z терпеливого
 сах  Z он
 амритатвайа  Z освобождения
 калпате  Z достоин
на  Z не
 асатах  Z того, чего не существует
 видйате  Z существует
 бхавах  Z неизменность
 на  Z не
 абхавах  Z изменчивость
 видйате  Z существует
 сатах  Z вечного
 убхайох  Z обоих
 апи  Z поистине
 дриштах  Z наблюдаемо
 антах  Z заключение
 ту  Z же
 анайох  Z их
 таттва  Z истину
 даршибхих  Z теми, кто видит
авинаши  Z неразрушимое
 ту  Z но
 тат  Z то
 виддхи  Z знай же
 йена  Z которым
 сарвам  Z все (тело)
 идам  Z это
 татам  Z  пронизано
 винашам  Z уничтожение
 авйайасйа  Z бессмертного
 асйа  Z этого
 на кашчит  Z никто не
 картум  Z сделать
 архати  Z  может
анта-вантах  Z бренные
 име  Z эти
 дехах  Z материальные тела
 нитйасйа  Z вечного
 уктах  Z описанные
 шариринах  Z воплощенного (души)
 анашинах  Z неуничтожимого
 апрамейасйа  Z неизмеримого
 тасмат  Z поэтому
 йудхйасва  Z сражайся
 бхарата  Z о потомок Бхараты
йах  Z который
 энам  Z этого
 ветти  Z знает
 хантарам  Z убийцей
 йах  Z который
 ча  Z также
 энам  Z этого
 манйате  Z считает
 хатам  Z убитого
 убхау  Z оба
 тау  Z они
 на  Z не
 виджанитах  Z  знают
 на  Z не
 айам  Z это
 ханти  Z убивает
 на  Z не
 ханйате  Z  убивается
на  Z никогда не
 джайате  Z рождается
 мрийате  Z умирает
 ваЕ  Z либо
 кадачит  Z когда-либо (в прошлом, настояшем или будущем)
 на  Z не
 айам  Z этот
 бхутва  Z возникнув
 бхавита  Z возникнет
 ва  Z или
 на  Z не
 бхуйах  Z снова
 аджах  Z нерожденный
 нитйах  Z вечный
 шашватах  Z непрерывно существующий
 айам  Z этот
 пуранах  Z старейший
 на  Z не
 ханйате  Z убита
 ханйамане  Z когда убито
 шарире  Z тело
Веда  Z знает
 авинашинам  Z неразрушимого
 нитйам  Z существующего вечно
 йах  Z который
 энам  Z этого (душу)
 аджам  Z нерожденного
 авйайам  Z неизменного
 катхам  Z как
 сах  Z тот
 пурушах  Z человек
 партха  Z о Партха (Aрджуна)
 кам  Z кому
 гхатайати  Z причиняет боль
 ханти  Z убивает
 кам  Z кого
васамси  Z одежды
 джирнани  Z старые и ветхие
 йатха  Z как
 вихайа  Z сбросив
 навани  Z новые (одежды)
 грихнати  Z принимает
 нарах  Z человек
 апарани  Z другие
 татха  Z так и
 шарирани  Z тела
 вихайа  Z оставив
 джирнани  Z старые и бесполезные
 анйани  Z другие
 самйати  Z принимает
 навани  Z новые
 дехи  Z  воплощенный в теле (душа)
на  Z не
 энам  Z этого (душу)
 чхинданти  Z рассекают
 шастрани  Z (разные виды) оружия
 на  Z не
 энам  Z этого (душу)
 дахати  Z сжигает
 паваках  Z огонь
 на  Z не
 ча  Z также
 энам  Z этого (душу)
 кледайанти  Z мочит
 апах  Z вода
 на  Z не
 шошайати  Z  высушивает
 марутах  Z ветер
аччхедйах  Z неразрубаемый
 айам  Z этот (душа)
 адахйах  Z несгораемый
 айам  Z этот (душа)
 акледйах  Z несмачиваемый
 ашошйах  Z неиссушаемый
 эва  Z безусловно
 ча  Z и
 нитйах  Z вечный
 сарва-гатах  Z вездесущий
 стханух  Z неизменный
 ачалах  Z  неподвижный
 айам  Z этот (душа)
 санатанах  Z вечно одинаковый
авйактах  Z невидимый
 айам  Z этот (душа)
 ачинтйах  Z непостижимый
 айам  Z этот (душа)
 авикарйах  Z неизменный
 айам  Z  этот (душа)
 учйате  Z говорится
 тасмат  Z поэтому
 эвам  Z это
 видитва  Z зная
 энам  Z об этом (о душе)
 на  Z не
 анушочитум  Z  скорбеть
 архаси  Z заслуживаешь
атха  Z если же
 ча  Z также
 энам  Z этот (душа)
 нитйа-джатам  Z постоянно рождающийся
 нитйам  Z вечно
 ва  Z или
 манйасе  Z думаешь
 мритам  Z мертвый
 татха апи  Z но тогда ведь
 твам  Z ты
 маха-бахо  Z о могучерукий
 на  Z не
 энам  Z об этом (о душе)
 шочитум  Z сокрушаться
 архаси  Z заслуживаешь
джатасйа  Z родившегося на свет
 хи  Z ведь
 дхрувах  Z очевидна
 мритйух  Z смерть
 дхрувам  Z очевидно
 джанма  Z рождение
 мритасйа  Z мертвого
 ча  Z также
 тасмат  Z поэтому
 апарихарйе  Z неизбежного
 артхе  Z ради
 на  Z не
 твам  Z ты
 шочитум  Z скорбеть
 архаси  Z заслуживаешь
авйакта-адини  Z вначале не проявлены
 бхутани  Z сотворены
 вйакта  Z проявлены
 мадхйани  Z в середине
 бхарата  Z о потомок Бхараты
 авйакта  Z не проявлены
 нидханани  Z в период уничтожения
 эва  Z ведь
 татра  Z тогда
 ка  Z к чему
 паридевана  Z  скорбь
ашчарйа-ват  Z как на чудо
 пашйати  Z смотрит
 кашчит  Z  один
 энам  Z на него (душу)
 ашчарйа-ват  Z как о чуде
 вадати  Z  говорит
 татха  Z таким образом
 эва  Z безусловно
 ча  Z также
 анйах  Z другой
 ашчарйа-ват  Z как о чуде
 ча  Z также
 энам  Z  о нем (душе)
 анйах  Z другой
 шриноти  Z слышит
 шрутва  Z услышав
 апи  Z даже
 энам  Z его (душу)
 веда  Z знает
 на  Z не
 ча  Z  и
 эва  Z безусловно
 кашчит  Z другой
дехи  Z владелец материального тела
 нитйам  Z вечно
 авадхйах  Z тот, кого нельзя убить
 айам  Z этот (душа)
 дехе  Z в теле
 сарвасйа  Z каждого
 бхарата  Z о потомок Бхараты
 тасмат  Z  поэтому
 сарвани  Z все
 бхутани  Z живые существа (которые появились на свет)
 на  Z не
 твам  Z ты
 шочитум  Z оплакивать
 архаси  Z заслуживаешь
сва-дхармам  Z свой религиозный долг
 апи  Z поистине
 ча  Z также
 авекшйа  Z приняв во внимание
 на  Z не
 викампитум  Z колебаться
 архаси  Z можешь
 дхармйат  Z во имя законов религии
 хи  Z ведь
 йуддхат  Z сражения
 шрейах  Z лучшее (занятие)
 анйат  Z другое
 кшатрийасйа  Z кшатрия
 на  Z не
 видйате  Z существует
йадриччхайа  Z само собой
 ча  Z также
 упапаннам  Z выпадающее на долю
